TWTUSDT;L;2023-09-16 21:40:30.690817;2023-09-16 21:41:41.719489;0.7947;7827.0;12.8
SUIUSDT;L;2023-09-16 21:40:38.711839;2023-09-16 21:42:00.439907;0.4535;130819.1;10.9
ETHUSDT;L;2023-09-16 21:41:36.961764;2023-09-16 21:42:45.590536;1635.7;42.2754;10.1
APEUSDT;L;2023-09-16 21:42:02.975028;2023-09-16 21:43:38.187142;1.109;62432.7;12.6
LDOUSDT;L;2023-09-16 21:42:30.538261;2023-09-16 21:43:45.655541;1.531;34167.34;17.8
ARBUSDT;L;2023-09-16 21:40:03.453168;2023-09-16 21:44:07.519308;0.8197;105890.5;15.1
STXUSDT;L;2023-09-16 21:42:46.106480;2023-09-16 21:44:11.140298;0.4714;49722.9;10.2
FILUSDT;L;2023-09-16 21:43:00.974235;2023-09-16 21:44:13.345741;3.324;6256.22;12.4
UNIUSDT;L;2023-09-16 21:42:47.357921;2023-09-16 21:44:23.089921;4.326;5121.8;18.0
LINKUSDT;L;2023-09-16 21:40:21.768494;2023-09-16 21:44:30.677526;6.21;7056.18;10.3
DOGEUSDT;L;2023-09-16 21:42:46.120008;2023-09-16 21:44:45.040357;0.06202;2210167.0;10.9
CFXUSDT;L;2023-09-16 21:41:46.089203;2023-09-16 21:44:46.033151;0.1214;843451.0;11.6
